GLOBALEVENTID,SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1Code,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2Code,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Type,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
1241577031,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,,,,,0,043,043,04,1,2.8,-0.73298429319372,3,1,2,Benin,BN,1,BN,9.5,2.25,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241598758,20250503,20250503104500,202505,2025,POLICE,COP,,COP,,,,,1,190,190,19,4,-10.0,-9.16666666666663,10,1,10,Benin,BN,1,BN,9.5,2.25,https://punchng.com/police-arrest-95-over-renewed-cult-clashes-in-edo/
1241565895,20250503,20250503050000,202505,2025,BENIN,BEN,BEN,,,,,,1,051,051,05,1,3.4,2.57352941176471,1,1,1,Cuba,CU,1,CU,22.0,-79.5,https://www.nola.com/gambit/gambit/events/jazz_fest/friday-at-jazz-fest-2025-joan-jett-benin-international-musical-celebrating-clifton-chenier-more/article_145b6565-f8d4-49a2-b4b1-298a93920148.html
1241576446,20250503,20250503070000,202505,2025,BENIN,BEN,BEN,,,,,,1,051,051,05,1,3.4,-0.73298429319372,4,1,4,Nigeria,NI,1,NI,10.0,8.0,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576335,20250503,20250503070000,202505,2025,,,,,NIGERIA,NGA,NGA,,0,042,042,04,1,1.9,-0.73298429319372,3,1,2,Benin,BN,1,BN,9.5,2.25,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241598517,20250503,20250503104500,202505,2025,,,,,POLICE,COP,,COP,1,190,190,19,4,-10.0,-9.16666666666663,10,1,10,Benin,BN,1,BN,9.5,2.25,https://punchng.com/police-arrest-95-over-renewed-cult-clashes-in-edo/
1241531285,20250502,20250502231500,202505,2025,AFRICA,AFR,AFR,,BENIN,BEN,BEN,,0,013,013,01,1,0.4,-2.30627306273063,6,1,6,Benin,BN,1,BN,9.5,2.25,https://www.yahoo.com/news/estimated-4-2-million-women-222439272.html
1241560272,20250503,20250503034500,202505,2025,VOTER,CVL,,CVL,GOVERNOR,GOV,,GOV,1,051,051,05,1,3.4,4.5045045045045,10,1,10,Benin,BN,1,BN,9.5,2.25,https://quicknews-africa.net/edo-election-obaseki-queues-up-to-vote/
1241592510,20250503,20250503094500,202505,2025,BENIN,BEN,BEN,,BENIN CITY,NGA,NGA,,1,010,010,01,1,0.0,-7.17703349282298,4,1,4,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/05/03/police-arrest-95-suspected-cultists-recover-arms-ammunition-in-edo/
1241593039,20250503,20250503094500,202505,2025,INTELLIGENCE,SPY,,SPY,BENIN CITY,NGA,NGA,,1,190,190,19,4,-10.0,-7.17703349282298,10,1,10,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/05/03/police-arrest-95-suspected-cultists-recover-arms-ammunition-in-edo/
1241544291,20250503,20250503011500,202505,2025,AFRICA,AFRCVL,AFR,CVL,BENIN,BEN,BEN,,0,190,190,19,4,-10.0,-3.67132867132867,4,1,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,4,UP12,50.4333,30.5167,https://www.arabnews.com/node/2599355/world
1241577039,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,0,043,043,04,1,2.8,-0.73298429319372,4,1,4,Nigeria,NI,1,NI,10.0,8.0,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241532017,20250502,20250502231500,202505,2025,UGANDA,UGA,UGA,,AFRICA,AFR,AFR,,0,013,013,01,1,0.4,-2.30627306273063,2,1,2,Benin,BN,1,BN,9.5,2.25,https://www.yahoo.com/news/estimated-4-2-million-women-222439272.html
1241544324,20250503,20250503011500,202505,2025,BENIN,BEN,BEN,,AFRICA,AFRCVL,AFR,CVL,0,190,190,19,4,-10.0,-3.67132867132867,4,1,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,4,UP12,50.4333,30.5167,https://www.arabnews.com/node/2599355/world
1241544325,20250503,20250503011500,202505,2025,BENIN,BEN,BEN,,AFRICA,AFRCVL,AFR,CVL,0,190,190,19,4,-10.0,-3.67132867132867,1,1,1,"Kyiv, Kyyiv, Misto, Ukraine",UP,4,UP12,50.4333,30.5167,https://www.arabnews.com/node/2599355/world
1241544292,20250503,20250503011500,202505,2025,AFRICA,AFRCVL,AFR,CVL,BENIN,BEN,BEN,,0,190,190,19,4,-10.0,-3.67132867132867,1,1,1,"Kyiv, Kyyiv, Misto, Ukraine",UP,4,UP12,50.4333,30.5167,https://www.arabnews.com/node/2599355/world
1241576447,20250503,20250503070000,202505,2025,BENIN,BEN,BEN,,AFRICA,AFR,AFR,,1,051,051,05,1,3.4,-0.73298429319372,1,1,1,"Brookline, Massachusetts, United States",US,3,USMA,42.3318,-71.1212,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576450,20250503,20250503070000,202505,2025,BENIN,BEN,BEN,,NIGERIA,NGA,NGA,,0,042,042,04,1,1.9,-0.73298429319372,4,1,4,Nigeria,NI,1,NI,10.0,8.0,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576448,20250503,20250503070000,202505,2025,BENIN,BEN,BEN,,AFRICA,AFR,AFR,,1,051,051,05,1,3.4,-0.73298429319372,4,1,4,Nigeria,NI,1,NI,10.0,8.0,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241577037,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,1,0311,031,03,1,5.2,3.07971014492754,1,1,1,"Lagos, Lagos, Nigeria",NI,4,NI05,6.45306,3.39583,https://guardian.ng/news/la-campagne-african-beach-safari-will-boost-blue-economy-generate-fun-akinboboye/
1241577034,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,1,0311,031,03,1,5.2,3.07971014492754,1,1,1,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,4,NI11,9.08333,7.53333,https://guardian.ng/news/la-campagne-african-beach-safari-will-boost-blue-economy-generate-fun-akinboboye/
1241577035,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,1,0311,031,03,1,5.2,3.07971014492754,3,1,3,"Lagos, Lagos, Nigeria",NI,4,NI05,6.45306,3.39583,https://guardian.ng/news/la-campagne-african-beach-safari-will-boost-blue-economy-generate-fun-akinboboye/
1241577036,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,1,0311,031,03,1,5.2,3.07971014492754,1,1,1,"Lagos, Lagos, Nigeria",NI,4,NI05,6.45306,3.39583,https://guardian.ng/news/la-campagne-african-beach-safari-will-boost-blue-economy-generate-fun-akinboboye/
1241527000,20250502,20250502223000,202505,2025,BENIN,BEN,BEN,,TOGO,TGO,TGO,,1,090,090,09,2,-2.0,-5.78034682080925,8,1,8,Togo,TO,1,TO,8.0,1.166667,https://www.ghanamma.com/2025/05/02/150-stolen-vehicles-recovered-in-interpol-operation-safe-wheels/
1241576642,20250503,20250503070000,202505,2025,STUDENT,EDU,,EDU,UNITED KINGDOM,GBR,GBR,,0,145,145,14,3,-7.5,-0.73298429319372,2,1,2,Benin,BN,1,BN,9.5,2.25,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576452,20250503,20250503070000,202505,2025,BENIN,BENGOV,BEN,GOV,BRITISH,GBR,GBR,,0,100,100,10,3,-5.0,-0.73298429319372,7,1,7,United Kingdom,UK,1,UK,54.0,-4.0,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576451,20250503,20250503070000,202505,2025,BENIN,BENGOV,BEN,GOV,UNITED KINGDOM,GBR,GBR,,0,100,100,10,3,-5.0,-0.73298429319372,1,1,1,"Brookline High School, Massachusetts, United States",US,3,USMA,42.3334,-71.1301,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241576449,20250503,20250503070000,202505,2025,BENIN,BEN,BEN,,NIGERIA,NGA,NGA,,0,042,042,04,1,1.9,-0.73298429319372,1,1,1,"Boston, Massachusetts, United States",US,3,USMA,42.3584,-71.0598,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1241577038,20250503,20250503070000,202505,2025,NIGERIA,NGA,NGA,,BENIN,BEN,BEN,,0,043,043,04,1,2.8,-0.73298429319372,1,1,1,"Boston, Massachusetts, United States",US,3,USMA,42.3584,-71.0598,https://www.bostonglobe.com/2025/05/03/opinion/letters-to-the-editor-mfa-benin-bronzes-gallery-closed/
1257844095,20250816,20250816080000,202508,2025,FARMER,AGR,,AGR,,,,,1,0331,033,03,1,5.2,2.56410256410256,5,1,5,Benin,BN,1,BN,9.5,2.25,https://www.thecable.ng/ex-rep-former-commissioners-media-practitioner-top-candidates-in-edo-south-by-election/
1257860148,20250816,20250816103000,202508,2025,BENIN,BEN,BEN,,,,,,1,010,010,01,1,0.0,2.27743271221532,4,1,4,Benin,BN,1,BN,9.5,2.25,https://thenewsnigeria.com.ng/2025/08/16/industrial-harmony-my-greatest-achievement-as-cmd-of-ubth-for-8-years-obaseki/
1257926977,20250816,20250816221500,202508,2025,BENIN,BEN,BEN,,,,,,0,020,020,02,1,3.0,0.72674418604651,4,1,4,Benin,BN,1,BN,9.5,2.25,https://thenationonlineng.net/apc-edges-to-victory-in-edo-by-election/
1257926978,20250816,20250816221500,202508,2025,BENIN,BENGOV,BEN,GOV,,,,,0,012,012,01,1,-0.4,0.72674418604651,1,1,1,Benin,BN,1,BN,9.5,2.25,https://thenationonlineng.net/apc-edges-to-victory-in-edo-by-election/
1257927109,20250816,20250816221500,202508,2025,PRINCE,GOV,,GOV,,,,,0,012,012,01,1,-0.4,0.72674418604651,3,1,3,Benin,BN,1,BN,9.5,2.25,https://thenationonlineng.net/apc-edges-to-victory-in-edo-by-election/
1257907846,20250816,20250816180000,202508,2025,TERRORIST GROUP LEADER,UAF,,UAF,MILITARY,MIL,,MIL,1,173,173,17,4,-5.0,-1.51843817787418,2,1,2,Benin,BN,1,BN,9.5,2.25,https://dailytrust.com/breaking-ansaru-terrorist-group-leader-arrested/
1257856145,20250816,20250816093000,202508,2025,BENIN,BENGOV,BEN,GOV,BENIN,BEN,BEN,,1,012,012,01,1,-0.4,-6.81818181818182,10,1,10,Benin,BN,1,BN,9.5,2.25,https://afropages.fr/rfi/gabon-inquietude-sur-la-situation-des-beninois-dans-le-pays
1257844231,20250816,20250816080000,202508,2025,GOVERNMENT,GOV,,GOV,SCHOOL,EDU,,EDU,0,051,051,05,1,3.4,2.56410256410256,5,1,5,Benin,BN,1,BN,9.5,2.25,https://www.thecable.ng/ex-rep-former-commissioners-media-practitioner-top-candidates-in-edo-south-by-election/
1257860149,20250816,20250816103000,202508,2025,BENIN,BENEDU,BEN,EDU,HOSPITAL,HLH,,HLH,1,051,051,05,1,3.4,2.27743271221532,10,1,10,Benin,BN,1,BN,9.5,2.25,https://thenewsnigeria.com.ng/2025/08/16/industrial-harmony-my-greatest-achievement-as-cmd-of-ubth-for-8-years-obaseki/
1257907847,20250816,20250816180000,202508,2025,TERRORIST GROUP LEADER,UAF,,UAF,MILITARY,MIL,,MIL,1,173,173,17,4,-5.0,-1.51843817787418,1,1,1,Benin,BN,1,BN,9.5,2.25,https://dailytrust.com/breaking-ansaru-terrorist-group-leader-arrested/
1257889593,20250816,20250816150000,202508,2025,BENIN,BEN,BEN,,POLICE,COP,,COP,1,010,010,01,1,0.0,-6.84931506849315,3,1,3,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/08/16/by-election-pdp-raises-alarm-over-alleged-abduction-of-ex-senators-sons-in-edo/
