SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,event_date,event_month,event_quarter,event_root_label,tone_category,stability_category,propagation_delay_days,source_domain,is_crisis_period,benin_role,actor1_type_label,actor2_type_label,quad_class_label
2025-12-08,2025-12-08,202512,2025,MILITARY,,MIL,,,,1,042,042,04,1,1.9,-2.7972027972028,10,1,10,Benin,BN,9.5,2.25,https://english.news.cn/africa/20251208/8d9731ee510b428fb9116c47ac24e6ed/c.html,2025-12-08,12,2025Q4,Consultation,Négatif,Neutre,0,english.news.cn,False,Contexte,Militaire,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,COP,,,,1,173,173,17,4,-5.0,-2.13299874529485,5,1,5,Benin,BN,9.5,2.25,https://www.moneycontrol.com/world/coup-rocks-benin-president-talon-says-situation-completely-under-control-after-regional-military-response-article-13715396.html,2025-12-08,12,2025Q4,Assaut,Négatif,Déstabilisant,0,moneycontrol.com,False,Acteur,Police,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,GOV,,,,1,013,013,01,1,0.4,-2.13299874529485,3,1,3,Benin,BN,9.5,2.25,https://www.moneycontrol.com/world/coup-rocks-benin-president-talon-says-situation-completely-under-control-after-regional-military-response-article-13715396.html,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,moneycontrol.com,False,Acteur,Gouvernement,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,GOVERNMENT,,GOV,,,,1,046,046,04,1,7.0,-5.46218487394958,5,1,5,Benin,BN,9.5,2.25,https://www.nigerianeye.com/2025/12/ecowas-activates-regional-standby-force.html,2025-12-08,12,2025Q4,Consultation,Négatif,Stabilisant,0,nigerianeye.com,True,Contexte,Gouvernement,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,ECOWAS,WAF,IGO,,,,1,051,051,05,1,3.4,-5.46218487394958,10,1,10,Benin,BN,9.5,2.25,https://www.nigerianeye.com/2025/12/ecowas-activates-regional-standby-force.html,2025-12-08,12,2025Q4,Engagement / Soutien,Négatif,Stabilisant,0,nigerianeye.com,True,Contexte,Organisation internationale,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,LA FRANCOPHONIE,,IGO,,,,0,111,111,11,3,-2.0,-2.64150943396226,8,1,8,Benin,BN,9.5,2.25,https://www.dailysabah.com/world/africa/benin-president-declares-nation-under-control-after-foiled-coup,2025-12-08,12,2025Q4,Désapprobation,Négatif,Neutre,0,dailysabah.com,False,Contexte,Organisation internationale,Non identifié,Conflit verbal
2025-12-08,2025-12-08,202512,2025,AFRICA,AFR,,,,,1,012,012,01,1,-0.4,-1.8018018018018,2,1,2,Benin,BN,9.5,2.25,https://www.radiofrance.fr/franceculture/podcasts/la-revue-de-presse-internationale/la-revue-de-presse-internationale-emission-du-lundi-08-decembre-2025-2396688,2025-12-08,12,2025Q4,Déclaration publique,Neutre,Neutre,0,radiofrance.fr,False,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,AFRICA,AFR,,,,,1,193,193,19,4,-10.0,-1.8018018018018,10,1,10,Benin,BN,9.5,2.25,https://www.radiofrance.fr/franceculture/podcasts/la-revue-de-presse-internationale/la-revue-de-presse-internationale-emission-du-lundi-08-decembre-2025-2396688,2025-12-08,12,2025Q4,Violence de masse,Neutre,Déstabilisant,0,radiofrance.fr,True,Contexte,Non identifié,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,0,172,172,17,4,-5.0,-1.8018018018018,4,1,4,Benin,BN,9.5,2.25,https://www.radiofrance.fr/franceculture/podcasts/la-revue-de-presse-internationale/la-revue-de-presse-internationale-emission-du-lundi-08-decembre-2025-2396688,2025-12-08,12,2025Q4,Assaut,Neutre,Déstabilisant,0,radiofrance.fr,False,Acteur,Non identifié,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,PUBLIC TELEVISION,,MED,,,,0,050,050,05,1,3.5,0.0,10,1,10,Benin,BN,9.5,2.25,https://sapo.pt/artigo/nigeria-enviou-tropas-e-avioes-de-combate-para-o-benim-apos-tentativa-de-golpe-69368a10e49aa1415d6a7526,2025-12-08,12,2025Q4,Engagement / Soutien,Neutre,Stabilisant,0,sapo.pt,False,Contexte,Médias,Non identifié,Coopération verbale
